Codepoints	Name	Group	Subgroup	Version	Status
1F600	grinning face	Smileys & Emotion	face-smiling	E1.0	fully-qualified
1F603	grinning face with big eyes	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F604	grinning face with smiling eyes	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F601	beaming face with smiling eyes	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F606	grinning squinting face	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F605	grinning face with sweat	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F923	rolling on the floor laughing	Smileys & Emotion	face-smiling	E3.0	fully-qualified
1F602	face with tears of joy	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F642	slightly smiling face	Smileys & Emotion	face-smiling	E1.0	fully-qualified
1F643	upside-down face	Smileys & Emotion	face-smiling	E1.0	fully-qualified
1FAE0	melting face	Smileys & Emotion	face-smiling	E14.0	fully-qualified
1F609	winking face	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F60A	smiling face with smiling eyes	Smileys & Emotion	face-smiling	E0.6	fully-qualified
1F607	smiling face with halo	Smileys & Emotion	face-smiling	E1.0	fully-qualified
1F970	smiling face with hearts	Smileys & Emotion	face-affection	E11.0	fully-qualified
1F60D	smiling face with heart-eyes	Smileys & Emotion	face-affection	E0.6	fully-qualified
1F929	star-struck	Smileys & Emotion	face-affection	E5.0	fully-qualified
1F618	face blowing a kiss	Smileys & Emotion	face-affection	E0.6	fully-qualified
1F617	kissing face	Smileys & Emotion	face-affection	E1.0	fully-qualified
263A FE0F	smiling face	Smileys & Emotion	face-affection	E0.6	fully-qualified
1F61A	kissing face with closed eyes	Smileys & Emotion	face-affection	E0.6	fully-qualified
1F619	kissing face with smiling eyes	Smileys & Emotion	face-affection	E1.0	fully-qualified
1F972	smiling face with tear	Smileys & Emotion	face-affection	E13.0	fully-qualified
1F60B	face savoring food	Smileys & Emotion	face-tongue	E0.6	fully-qualified
1F61B	face with tongue	Smileys & Emotion	face-tongue	E1.0	fully-qualified
1F61C	winking face with tongue	Smileys & Emotion	face-tongue	E0.6	fully-qualified
1F92A	zany face	Smileys & Emotion	face-tongue	E5.0	fully-qualified
1F61D	squinting face with tongue	Smileys & Emotion	face-tongue	E0.6	fully-qualified
1F911	money-mouth face	Smileys & Emotion	face-tongue	E1.0	fully-qualified
1F917	smiling face with open hands	Smileys & Emotion	face-hand	E1.0	fully-qualified
1F92D	face with hand over mouth	Smileys & Emotion	face-hand	E5.0	fully-qualified
1FAE2	face with open eyes and hand over mouth	Smileys & Emotion	face-hand	E14.0	fully-qualified
1FAE3	face with peeking eye	Smileys & Emotion	face-hand	E14.0	fully-qualified
1F92B	shushing face	Smileys & Emotion	face-hand	E5.0	fully-qualified
1F914	thinking face	Smileys & Emotion	face-hand	E1.0	fully-qualified
1FAE1	saluting face	Smileys & Emotion	face-hand	E14.0	fully-qualified
1F910	zipper-mouth face	Smileys & Emotion	face-neutral-skeptical	E1.0	fully-qualified
1F928	face with raised eyebrow	Smileys & Emotion	face-neutral-skeptical	E5.0	fully-qualified
1F610	neutral face	Smileys & Emotion	face-neutral-skeptical	E0.7	fully-qualified
1F611	expressionless face	Smileys & Emotion	face-neutral-skeptical	E1.0	fully-qualified
1F636	face without mouth	Smileys & Emotion	face-neutral-skeptical	E1.0	fully-qualified
1FAE5	dotted line face	Smileys & Emotion	face-neutral-skeptical	E14.0	fully-qualified
1F636 200D 1F32B FE0F	face in clouds	Smileys & Emotion	face-neutral-skeptical	E13.1	fully-qualified
1F60F	smirking face	Smileys & Emotion	face-neutral-skeptical	E0.6	fully-qualified
1F612	unamused face	Smileys & Emotion	face-neutral-skeptical	E0.6	fully-qualified
1F644	face with rolling eyes	Smileys & Emotion	face-neutral-skeptical	E1.0	fully-qualified
1F62C	grimacing face	Smileys & Emotion	face-neutral-skeptical	E1.0	fully-qualified
1F62E 200D 1F4A8	face exhaling	Smileys & Emotion	face-neutral-skeptical	E13.1	fully-qualified
1F925	lying face	Smileys & Emotion	face-neutral-skeptical	E3.0	fully-qualified
1FAE8	shaking face	Smileys & Emotion	face-neutral-skeptical	E15.0	fully-qualified
1F642 200D 2194 FE0F	head shaking horizontally	Smileys & Emotion	face-neutral-skeptical	E15.1	fully-qualified
1F642 200D 2195 FE0F	head shaking vertically	Smileys & Emotion	face-neutral-skeptical	E15.1	fully-qualified
1F60C	relieved face	Smileys & Emotion	face-sleepy	E0.6	fully-qualified
1F614	pensive face	Smileys & Emotion	face-sleepy	E0.6	fully-qualified
1F62A	sleepy face	Smileys & Emotion	face-sleepy	E0.6	fully-qualified
1F924	drooling face	Smileys & Emotion	face-sleepy	E3.0	fully-qualified
1F634	sleeping face	Smileys & Emotion	face-sleepy	E1.0	fully-qualified
