0x,Name,Category,Bidi,Combining,Decomp,Lang,Block
20,SPACE,Zs,WS,0,,LATIN,Basic Latin
21,EXCLAMATION MARK,Po,ON,0,,LATIN,Basic Latin
22,QUOTATION MARK,Po,ON,0,,LATIN,Basic Latin
23,NUMBER SIGN,Po,ET,0,,LATIN,Basic Latin
24,DOLLAR SIGN,Sc,ET,0,,LATIN,Basic Latin
25,PERCENT SIGN,Po,ET,0,,LATIN,Basic Latin
26,AMPERSAND,Po,ON,0,,LATIN,Basic Latin
27,APOSTROPHE,Po,ON,0,,LATIN,Basic Latin
28,LEFT PARENTHESIS,Ps,ON,0,,LATIN,Basic Latin
29,RIGHT PARENTHESIS,Pe,ON,0,,LATIN,Basic Latin
2A,ASTERISK,Po,ON,0,,LATIN,Basic Latin
2B,PLUS SIGN,Sm,ES,0,,LATIN,Basic Latin
2C,COMMA,Po,CS,0,,LATIN,Basic Latin
2D,HYPHEN-MINUS,Pd,ES,0,,LATIN,Basic Latin
2E,FULL STOP,Po,CS,0,,LATIN,Basic Latin
2F,SOLIDUS,Po,CS,0,,LATIN,Basic Latin
30,DIGIT ZERO,Nd,EN,0,,LATIN,Basic Latin
31,DIGIT ONE,Nd,EN,0,,LATIN,Basic Latin
32,DIGIT TWO,Nd,EN,0,,LATIN,Basic Latin
33,DIGIT THREE,Nd,EN,0,,LATIN,Basic Latin
34,DIGIT FOUR,Nd,EN,0,,LATIN,Basic Latin
35,DIGIT FIVE,Nd,EN,0,,LATIN,Basic Latin
36,DIGIT SIX,Nd,EN,0,,LATIN,Basic Latin
37,DIGIT SEVEN,Nd,EN,0,,LATIN,Basic Latin
38,DIGIT EIGHT,Nd,EN,0,,LATIN,Basic Latin
39,DIGIT NINE,Nd,EN,0,,LATIN,Basic Latin
3A,COLON,Po,CS,0,,LATIN,Basic Latin
3B,SEMICOLON,Po,ON,0,,LATIN,Basic Latin
3C,LESS-THAN SIGN,Sm,ON,0,,LATIN,Basic Latin
3D,EQUALS SIGN,Sm,ON,0,,LATIN,Basic Latin
3E,GREATER-THAN SIGN,Sm,ON,0,,LATIN,Basic Latin
3F,QUESTION MARK,Po,ON,0,,LATIN,Basic Latin
40,COMMERCIAL AT,Po,ON,0,,LATIN,Basic Latin
41,LATIN CAPITAL LETTER A,Lu,L,0,,LATIN,Basic Latin
42,LATIN CAPITAL LETTER B,Lu,L,0,,LATIN,Basic Latin
43,LATIN CAPITAL LETTER C,Lu,L,0,,LATIN,Basic Latin
44,LATIN CAPITAL LETTER D,Lu,L,0,,LATIN,Basic Latin
45,LATIN CAPITAL LETTER E,Lu,L,0,,LATIN,Basic Latin
46,LATIN CAPITAL LETTER F,Lu,L,0,,LATIN,Basic Latin
47,LATIN CAPITAL LETTER G,Lu,L,0,,LATIN,Basic Latin
48,LATIN CAPITAL LETTER H,Lu,L,0,,LATIN,Basic Latin
49,LATIN CAPITAL LETTER I,Lu,L,0,,LATIN,Basic Latin
4A,LATIN CAPITAL LETTER J,Lu,L,0,,LATIN,Basic Latin
4B,LATIN CAPITAL LETTER K,Lu,L,0,,LATIN,Basic Latin
4C,LATIN CAPITAL LETTER L,Lu,L,0,,LATIN,Basic Latin
4D,LATIN CAPITAL LETTER M,Lu,L,0,,LATIN,Basic Latin
4E,LATIN CAPITAL LETTER N,Lu,L,0,,LATIN,Basic Latin
4F,LATIN CAPITAL LETTER O,Lu,L,0,,LATIN,Basic Latin
50,LATIN CAPITAL LETTER P,Lu,L,0,,LATIN,Basic Latin
51,LATIN CAPITAL LETTER Q,Lu,L,0,,LATIN,Basic Latin
52,LATIN CAPITAL LETTER R,Lu,L,0,,LATIN,Basic Latin
53,LATIN CAPITAL LETTER S,Lu,L,0,,LATIN,Basic Latin
54,LATIN CAPITAL LETTER T,Lu,L,0,,LATIN,Basic Latin
55,LATIN CAPITAL LETTER U,Lu,L,0,,LATIN,Basic Latin
56,LATIN CAPITAL LETTER V,Lu,L,0,,LATIN,Basic Latin
57,LATIN CAPITAL LETTER W,Lu,L,0,,LATIN,Basic Latin
58,LATIN CAPITAL LETTER X,Lu,L,0,,LATIN,Basic Latin
59,LATIN CAPITAL LETTER Y,Lu,L,0,,LATIN,Basic Latin
5A,LATIN CAPITAL LETTER Z,Lu,L,0,,LATIN,Basic Latin
5B,LEFT SQUARE BRACKET,Ps,ON,0,,LATIN,Basic Latin
5C,REVERSE SOLIDUS,Po,ON,0,,LATIN,Basic Latin
5D,RIGHT SQUARE BRACKET,Pe,ON,0,,LATIN,Basic Latin
5E,CIRCUMFLEX ACCENT,Sk,ON,0,,LATIN,Basic Latin
5F,LOW LINE,Pc,ON,0,,LATIN,Basic Latin
60,GRAVE ACCENT,Sk,ON,0,,LATIN,Basic Latin
61,LATIN SMALL LETTER A,Ll,L,0,,LATIN,Basic Latin
62,LATIN SMALL LETTER B,Ll,L,0,,LATIN,Basic Latin
63,LATIN SMALL LETTER C,Ll,L,0,,LATIN,Basic Latin
64,LATIN SMALL LETTER D,Ll,L,0,,LATIN,Basic Latin
65,LATIN SMALL LETTER E,Ll,L,0,,LATIN,Basic Latin
66,LATIN SMALL LETTER F,Ll,L,0,,LATIN,Basic Latin
67,LATIN SMALL LETTER G,Ll,L,0,,LATIN,Basic Latin
68,LATIN SMALL LETTER H,Ll,L,0,,LATIN,Basic Latin
69,LATIN SMALL LETTER I,Ll,L,0,,LATIN,Basic Latin
6A,LATIN SMALL LETTER J,Ll,L,0,,LATIN,Basic Latin
6B,LATIN SMALL LETTER K,Ll,L,0,,LATIN,Basic Latin
6C,LATIN SMALL LETTER L,Ll,L,0,,LATIN,Basic Latin
6D,LATIN SMALL LETTER M,Ll,L,0,,LATIN,Basic Latin
6E,LATIN SMALL LETTER N,Ll,L,0,,LATIN,Basic Latin
6F,LATIN SMALL LETTER O,Ll,L,0,,LATIN,Basic Latin
70,LATIN SMALL LETTER P,Ll,L,0,,LATIN,Basic Latin
71,LATIN SMALL LETTER Q,Ll,L,0,,LATIN,Basic Latin
72,LATIN SMALL LETTER R,Ll,L,0,,LATIN,Basic Latin
73,LATIN SMALL LETTER S,Ll,L,0,,LATIN,Basic Latin
74,LATIN SMALL LETTER T,Ll,L,0,,LATIN,Basic Latin
75,LATIN SMALL LETTER U,Ll,L,0,,LATIN,Basic Latin
76,LATIN SMALL LETTER V,Ll,L,0,,LATIN,Basic Latin
77,LATIN SMALL LETTER W,Ll,L,0,,LATIN,Basic Latin
78,LATIN SMALL LETTER X,Ll,L,0,,LATIN,Basic Latin
79,LATIN SMALL LETTER Y,Ll,L,0,,LATIN,Basic Latin
7A,LATIN SMALL LETTER Z,Ll,L,0,,LATIN,Basic Latin
7B,LEFT CURLY BRACKET,Ps,ON,0,,LATIN,Basic Latin
7C,VERTICAL LINE,Sm,ON,0,,LATIN,Basic Latin
7D,RIGHT CURLY BRACKET,Pe,ON,0,,LATIN,Basic Latin
7E,TILDE,Sm,ON,0,,LATIN,Basic Latin
A0,NO-BREAK SPACE,Zs,CS,0,<noBreak> 0020,LATIN,Latin-1 Supplement
A1,INVERTED EXCLAMATION MARK,Po,ON,0,,LATIN,Latin-1 Supplement
A2,CENT SIGN,Sc,ET,0,,LATIN,Latin-1 Supplement
A3,POUND SIGN,Sc,ET,0,,LATIN,Latin-1 Supplement
A4,CURRENCY SIGN,Sc,ET,0,,LATIN,Latin-1 Supplement
A5,YEN SIGN,Sc,ET,0,,LATIN,Latin-1 Supplement
A6,BROKEN BAR,So,ON,0,,LATIN,Latin-1 Supplement
A7,SECTION SIGN,Po,ON,0,,LATIN,Latin-1 Supplement
A8,DIAERESIS,Sk,ON,0,<compat> 0020 0308,LATIN,Latin-1 Supplement
A9,COPYRIGHT SIGN,So,ON,0,,LATIN,Latin-1 Supplement
AA,FEMININE ORDINAL INDICATOR,Lo,L,0,<super> 0061,LATIN,Latin-1 Supplement
AB,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,Pi,ON,0,,LATIN,Latin-1 Supplement
AC,NOT SIGN,Sm,ON,0,,LATIN,Latin-1 Supplement
AD,SOFT HYPHEN,Cf,BN,0,,LATIN,Latin-1 Supplement
AE,REGISTERED SIGN,So,ON,0,,LATIN,Latin-1 Supplement
AF,MACRON,Sk,ON,0,<compat> 0020 0304,LATIN,Latin-1 Supplement
B0,DEGREE SIGN,So,ET,0,,LATIN,Latin-1 Supplement
B1,PLUS-MINUS SIGN,Sm,ET,0,,LATIN,Latin-1 Supplement
B2,SUPERSCRIPT TWO,No,EN,0,<super> 0032,LATIN,Latin-1 Supplement
B3,SUPERSCRIPT THREE,No,EN,0,<super> 0033,LATIN,Latin-1 Supplement
B4,ACUTE ACCENT,Sk,ON,0,<compat> 0020 0301,LATIN,Latin-1 Supplement
B5,MICRO SIGN,Ll,L,0,<compat> 03BC,LATIN,Latin-1 Supplement
B6,PILCROW SIGN,Po,ON,0,,LATIN,Latin-1 Supplement
B7,MIDDLE DOT,Po,ON,0,,LATIN,Latin-1 Supplement
B8,CEDILLA,Sk,ON,0,<compat> 0020 0327,LATIN,Latin-1 Supplement
B9,SUPERSCRIPT ONE,No,EN,0,<super> 0031,LATIN,Latin-1 Supplement
BA,MASCULINE ORDINAL INDICATOR,Lo,L,0,<super> 006F,LATIN,Latin-1 Supplement
BB,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,Pf,ON,0,,LATIN,Latin-1 Supplement
BC,VULGAR FRACTION ONE QUARTER,No,ON,0,<fraction> 0031 2044 0034,LATIN,Latin-1 Supplement
BD,VULGAR FRACTION ONE HALF,No,ON,0,<fraction> 0031 2044 0032,LATIN,Latin-1 Supplement
BE,VULGAR FRACTION THREE QUARTERS,No,ON,0,<fraction> 0033 2044 0034,LATIN,Latin-1 Supplement
BF,INVERTED QUESTION MARK,Po,ON,0,,LATIN,Latin-1 Supplement
C0,LATIN CAPITAL LETTER A WITH GRAVE,Lu,L,0,0041 0300,LATIN,Latin-1 Supplement
C1,LATIN CAPITAL LETTER A WITH ACUTE,Lu,L,0,0041 0301,LATIN,Latin-1 Supplement
C2,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,Lu,L,0,0041 0302,LATIN,Latin-1 Supplement
C3,LATIN CAPITAL LETTER A WITH TILDE,Lu,L,0,0041 0303,LATIN,Latin-1 Supplement
C4,LATIN CAPITAL LETTER A WITH DIAERESIS,Lu,L,0,0041 0308,LATIN,Latin-1 Supplement
C5,LATIN CAPITAL LETTER A WITH RING ABOVE,Lu,L,0,0041 030A,LATIN,Latin-1 Supplement
