Property,Value,ShortName,Name
Category,Cc,Cc,Control
Category,Cf,Cf,Format
Category,Cn,Cn,Unassigned
Category,Co,Co,Private_Use
Category,Cs,Cs,Surrogate
Category,Ll,Ll,Lowercase_Letter
Category,Lm,Lm,Modifier_Letter
Category,Lo,Lo,Other_Letter
Category,Lt,Lt,Titlecase_Letter
Category,Lu,Lu,Uppercase_Letter
Category,Mc,Mc,Spacing_Mark
Category,Me,Me,Enclosing_Mark
Category,Mn,Mn,Nonspacing_Mark
Category,Nd,Nd,Decimal_Number
Category,Nl,Nl,Letter_Number
Category,No,No,Other_Number
Category,Pc,Pc,Connector_Punctuation
Category,Pd,Pd,Dash_Punctuation
Category,Pe,Pe,Close_Punctuation
Category,Pf,Pf,Final_Punctuation
Category,Pi,Pi,Initial_Punctuation
Category,Po,Po,Other_Punctuation
Category,Ps,Ps,Open_Punctuation
Category,Sc,Sc,Currency_Symbol
Category,Sk,Sk,Modifier_Symbol
Category,Sm,Sm,Math_Symbol
Category,So,So,Other_Symbol
Category,Zl,Zl,Line_Separator
Category,Zp,Zp,Paragraph_Separator
Category,Zs,Zs,Space_Separator
Bidi,AL,AL,Arabic_Letter
Bidi,AN,AN,Arabic_Number
Bidi,B,B,Paragraph_Separator
Bidi,BN,BN,Boundary_Neutral
Bidi,CS,CS,Common_Separator
Bidi,EN,EN,European_Number
Bidi,ES,ES,European_Separator
Bidi,ET,ET,European_Terminator
Bidi,FSI,FSI,First_Strong_Isolate
Bidi,L,L,Left_To_Right
Bidi,LRE,LRE,Left_To_Right_Embedding
Bidi,LRI,LRI,Left_To_Right_Isolate
Bidi,LRO,LRO,Left_To_Right_Override
Bidi,NSM,NSM,Nonspacing_Mark
Bidi,ON,ON,Other_Neutral
Bidi,PDF,PDF,Pop_Directional_Format
Bidi,PDI,PDI,Pop_Directional_Isolate
Bidi,R,R,Right_To_Left
Bidi,RLE,RLE,Right_To_Left_Embedding
Bidi,RLI,RLI,Right_To_Left_Isolate
Bidi,RLO,RLO,Right_To_Left_Override
Bidi,S,S,Segment_Separator
Bidi,WS,WS,White_Space
Combining,0,NR,Not_Reordered
Combining,1,OV,Overlay
Combining,6,HANR,Han_Reading
Combining,7,NK,Nukta
Combining,8,KV,Kana_Voicing
Combining,9,VR,Virama
Combining,10,CCC10,CCC10
Combining,11,CCC11,CCC11
Combining,12,CCC12,CCC12
Combining,13,CCC13,CCC13
Combining,14,CCC14,CCC14
Combining,15,CCC15,CCC15
Combining,16,CCC16,CCC16
Combining,17,CCC17,CCC17
Combining,18,CCC18,CCC18
Combining,19,CCC19,CCC19
Combining,20,CCC20,CCC20
Combining,21,CCC21,CCC21
Combining,22,CCC22,CCC22
Combining,23,CCC23,CCC23
Combining,24,CCC24,CCC24
Combining,25,CCC25,CCC25
Combining,26,CCC26,CCC26
Combining,27,CCC27,CCC27
Combining,28,CCC28,CCC28
Combining,29,CCC29,CCC29
Combining,30,CCC30,CCC30
Combining,31,CCC31,CCC31
Combining,32,CCC32,CCC32
Combining,33,CCC33,CCC33
Combining,34,CCC34,CCC34
Combining,35,CCC35,CCC35
Combining,36,CCC36,CCC36
Combining,84,CCC84,CCC84
Combining,91,CCC91,CCC91
Combining,103,CCC103,CCC103
Combining,107,CCC107,CCC107
Combining,118,CCC118,CCC118
Combining,122,CCC122,CCC122
Combining,129,CCC129,CCC129
Combining,130,CCC130,CCC130
Combining,132,CCC132,CCC132
Combining,133,CCC133,CCC133
Combining,200,ATBL,Attached_Below_Left
Combining,202,ATB,Attached_Below
Combining,214,ATA,Attached_Above
Combining,216,ATAR,Attached_Above_Right
Combining,218,BL,Below_Left
Combining,220,B,Below
Combining,222,BR,Below_Right
Combining,224,L,Left
Combining,226,R,Right
Combining,228,AL,Above_Left
Combining,230,A,Above
Combining,232,AR,Above_Right
Combining,233,DB,Double_Below
Combining,234,DA,Double_Above
Combining,240,IS,Iota_Subscript
